County,White,Black,Asian,AIAN,NHPI,Hispanic
"Montgomery County, North Carolina",-,-,-,-,-,175
"Moore County, North Carolina",272,65,4,2,-,86
"Nash County, North Carolina",277,234,1,3,-,176
"New Hanover County, North Carolina",827,246,5,4,1,151
"Onslow County, North Carolina",311,93,2,4,5,74
"Orange County, North Carolina",384,180,29,-,2,332
"Pamlico County, North Carolina",15,6,-,-,-,6
"Pasquotank County, North Carolina",-,-,-,-,-,77
"Pender County, North Carolina",-,-,-,-,-,99
"Perquimans County, North Carolina",24,16,-,-,-,-
"Person County, North Carolina",68,36,-,-,-,27
"Pitt County, North Carolina",562,273,3,8,-,149
"Polk County, North Carolina",-,-,-,-,-,13
"Randolph County, North Carolina",1557,97,6,5,1,912
"Richmond County, North Carolina",-,-,-,-,-,56
"Robeson County, North Carolina",256,404,-,411,3,512
"Rockingham County, North Carolina",235,51,5,-,-,110
"Rowan County, North Carolina",996,227,3,4,-,598
"Rutherford County, North Carolina",-,-,-,-,-,50
"Sampson County, North Carolina",-,-,-,-,-,534
"Scotland County, North Carolina",-,-,-,-,-,7
"Stanly County, North Carolina",-,-,-,-,-,93
"Stokes County, North Carolina",58,1,-,-,-,9
"Surry County, North Carolina",-,-,-,-,-,380
"Swain County, North Carolina",21,-,-,38,-,7
"Transylvania County, North Carolina",56,8,-,-,-,13
"Tyrrell County, North Carolina",49,12,-,-,-,-
"Union County, North Carolina",991,240,19,5,2,599
"Vance County, North Carolina",-,-,-,-,-,116
"Wake County, North Carolina",2132,1545,183,9,3,2538
"Warren County, North Carolina",74,111,-,7,-,43
"Washington County, North Carolina",37,28,-,-,-,17
"Watauga County, North Carolina",142,3,-,-,1,52
"Wayne County, North Carolina",-,-,-,-,-,284
"Wilkes County, North Carolina",-,-,-,-,-,82
"Wilson County, North Carolina",-,-,-,-,-,344
"Yadkin County, North Carolina",99,12,-,-,-,240
"Yancey County, North Carolina",49,-,-,-,-,28
"Cobb County, Georgia",,,,,,
"DeKalb County, Georgia",,,,,,
"Douglas County, Georgia",,,,,,
"Harris County, Georgia","2,606","2,318",-,23,489,"7,963"
"Houston County, Georgia","5,552","4,595",-,-,586,"6,512"
"Adams County, Ohio",34,0,0,0,0,0
"Allen County, Ohio",310,122,0,1,0,12
"Ashland County, Ohio",98,0,0,0,0,1
"Ashtabula County, Ohio",343,61,0,0,1,26
"Athens County, Ohio",221,7,3,0,0,4
"Auglaize County, Ohio",111,0,0,0,2,5
"Belmont County, Ohio",393,76,4,2,0,9
"Brown County, Ohio",57,0,0,0,0,2
"Butler County, Ohio",932,304,108,4,7,350
"Carroll County, Ohio",47,0,0,0,0,0
"Champaign County, Ohio",41,0,0,0,0,0
"Clark County, Ohio",370,131,1,2,0,324
"Clermont County, Ohio",501,24,8,1,2,35
"Clinton County, Ohio",74,2,0,1,0,1
"Columbiana County, Ohio",760,164,1,4,1,23
"Coshocton County, Ohio",104,3,0,0,0,0
"Crawford County, Ohio",140,0,0,0,0,6
"Cuyahoga County, Ohio","3,501","5,382",131,10,6,423
"Darke County, Ohio",238,5,0,1,1,10
"Defiance County, Ohio",59,2,0,0,0,10
"Delaware County, Ohio",645,63,28,0,1,57
"Erie County, Ohio",232,74,1,0,0,21
"Fairfield County, Ohio",482,153,37,0,0,44
"Fayette County, Ohio",52,2,0,0,0,5
"Franklin County, Ohio",4719,4316,917,19,15,1513
"Fulton County, Ohio",78,0,0,0,0,5
"Gallia County, Ohio",29,0,0,0,0,0
"Geauga County, Ohio",407,13,2,0,0,1
"Greene County, Ohio",315,45,8,1,0,8
"Guernsey County, Ohio",70,0,1,0,0,7
"Hamilton County, Ohio",2242,2952,240,9,25,675
"Hancock County, Ohio",75,4,1,0,0,10
"Hardin County, Ohio",116,2,0,0,1,2
"Harrison County, Ohio",15,0,0,0,0,0
"Henry County, Ohio",50,0,0,0,0,5
"Highland County, Ohio",62,0,0,0,0,1
"Hocking County, Ohio",87,0,0,0,0,0
"Holmes County, Ohio",154,0,0,0,0,2
"Huron County, Ohio",159,2,0,0,0,109
"Jackson County, Ohio",37,0,0,0,0,0
"Jefferson County, Ohio",105,20,0,0,0,0
"Knox County, Ohio",72,0,0,0,0,1
"Lake County, Ohio",554,129,14,1,0,29
"Lawrence County, Ohio",111,12,2,0,0,1
"Licking County, Ohio",261,56,80,0,0,12
"Logan County, Ohio",44,3,0,0,0,3
"Lorain County, Ohio",849,171,8,2,0,110
"Lucas County, Ohio",1480,1060,7,3,1,202
"Madison County, Ohio",169,29,0,0,0,21
"Mahoning County, Ohio",1319,319,3,2,6,65
"Marion County, Ohio",1351,1077,7,2,0,77
"Medina County, Ohio",584,19,10,0,0,8
"Meigs County, Ohio",18,0,0,0,0,0
"Mercer County, Ohio",256,0,1,4,60,19
"Miami County, Ohio",287,20,0,3,0,13
"Monroe County, Ohio",77,0,0,0,0,0
"Montgomery County, Ohio",1119,1098,16,5,4,167
"Morgan County, Ohio",6,2,0,0,0,0
"Morrow County, Ohio",79,1,0,0,0,5
"Muskingum County, Ohio",94,6,2,0,0,0
"Noble County, Ohio",15,0,0,0,0,0
"Ottawa County, Ohio",186,3,1,0,0,8
"Paulding County, Ohio",41,0,0,0,0,1
"Perry County, Ohio",52,0,0,0,1,0
"Pickaway County, Ohio",1171,782,6,5,0,31
"Pike County, Ohio",38,0,0,0,0,0
"Portage County, Ohio",462,51,4,0,0,6
"Preble County, Ohio",104,0,0,0,0,1
"Putnam County, Ohio",134,0,0,0,0,13
"Richland County, Ohio",293,99,4,2,0,6
"Ross County, Ohio",111,21,0,0,0,0
"Sandusky County, Ohio",151,17,1,3,0,37
"Scioto County, Ohio",101,2,0,0,0,0
"Seneca County, Ohio",51,3,1,0,0,4
"Shelby County, Ohio",62,2,0,0,0,1
"Stark County, Ohio",947,123,12,1,1,121
"Summit County, Ohio",1370,595,388,4,4,107
"Trumbull County, Ohio",769,182,3,0,3,12
"Tuscarawas County, Ohio",618,0,0,1,1,246
"Union County, Ohio",100,1,1,0,0,6
"Van Wert County, Ohio",43,2,0,0,0,9
"Vinton County, Ohio",25,0,0,0,0,0
"Warren County, Ohio",920,76,44,0,1,63
"Washington County, Ohio",148,2,0,0,0,0
"Wayne County, Ohio",365,4,1,0,0,10
"Williams County, Ohio",83,8,0,0,0,7
"Wood County, Ohio",476,24,1,0,0,27
"Wyandot County, Ohio",72,0,0,0,0,2
"Allegheny County, Pennsylvania",3727,1854,233,-,-,-
"Philadelphia County, Pennsylvania",-,-,-,-,-,-
"Adams County, Indiana",47,0,0,-,-,1
"Allen County, Indiana","1,022",356,224,-,-,279
"Bartholomew County, Indiana",371,13,1,-,-,56
"Benton County, Indiana",23,0,-,-,-,32
"Blackford County, Indiana",36,0,0,-,-,1
"Boone County, Indiana",301,11,5,-,-,12
"Brown County, Indiana",45,0,0,-,-,0
"Carroll County, Indiana",74,2,0,-,-,27
"Cass County, Indiana",556,97,114,-,-,929
"Clark County, Indiana",571,65,3,-,-,66
"Clay County, Indiana",57,1,0,-,-,0
"Clinton County, Indiana",187,0,1,-,-,158
"Crawford County, Indiana",34,0,0,-,-,0
"Daviess County, Indiana",110,5,0,-,-,14
"Dearborn County, Indiana",270,4,3,-,-,2
"Decatur County, Indiana",216,1,1,-,-,4
"DeKalb County, Indiana",147,2,2,-,-,9
"Delaware County, Indiana",362,43,1,-,-,2
"Dubois County, Indiana",287,16,0,-,-,171
"Elkhart County, Indiana",1457,163,12,-,-,698
"Fayette County, Indiana",,,,-,-,
"Floyd County, Indiana",367,34,1,-,-,15
"Fountain County, Indiana",23,0,0,-,-,2
"Franklin County, Indiana",111,-,0,-,-,1
